"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-06-30,1578,"Calhoun","TX","Port Lavaca",1433,131000,0.00383141762452107,0.0155038759689922,0.0624493106244931,,,"2018-06","2018-Q2",131000,0,"2018-06"
2018-06-30,878,"Blaine","ID","Hailey",1434,429400,0.00303667367437515,0.0289959261921879,0.0791656195023875,,,"2006-12","2006-Q4",540700,-0.205844275938598,
2018-06-30,763,"Union","GA",,1435,184100,0.00326975476839237,0.0148842337375965,0.0617070357554787,,,"2008-03","2008-Q1",185100,-0.00540248514316586,"2008-01"
2018-06-30,1198,"Mercer","KY",,1436,132400,0.00227100681302044,0.0176787086856264,0.0668815471394037,,,"2018-06","2018-Q2",132400,0,"2018-06"
2018-06-30,745,"Teton","WY","Jackson",1437,768000,0.013727560718057,0.0290767787752914,0.0867411914532333,,,"2018-06","2018-Q2",768000,0,"2018-06"
2018-06-30,75,"Jay","IN",,1438,86400,-0.00115606936416185,-0.00460829493087558,0.0128956623681125,,,"2017-12","2017-Q4",90600,-0.0463576158940397,"2017-09"
2018-06-30,1339,"Putnam","GA",,1439,184700,-0.00162162162162162,-0.0053850296176629,-0.0390218522372529,,,"2006-10","2006-Q4",201200,-0.0820079522862823,"2006-03"
2018-06-30,760,"Uinta","WY","Evanston",1440,212400,0.0114285714285714,0.0295685894328648,0.0478539713862852,,,"2018-06","2018-Q2",212400,0,"2018-06"
2018-06-30,2562,"Stutsman","ND","Jamestown",1441,156300,0.000640204865556978,0.00192307692307692,0.0255905511811024,,,"2018-06","2018-Q2",156300,0,"2018-06"
2018-06-30,3262,"Waynesboro City","VA","Staunton",1442,151900,0.001318391562294,0.0079628400796284,0.0326308633582597,,,"2006-10","2006-Q4",173700,-0.125503742084053,"2006-03"
2018-06-30,462,"Crook","OR","Prineville",1443,240100,-0.000832292967124428,0.014792899408284,0.113636363636364,,,"2018-05","2018-Q2",240300,-0.000832292967124428,"2018-05"
2018-06-30,2031,"Spencer","IN",,1444,116800,0.00776531492666091,0.0245614035087719,0.0755064456721915,,,"2018-06","2018-Q2",116800,0,"2018-06"
2018-06-30,2209,"Colorado","TX",,1445,133200,0.00680272108843537,0.00604229607250755,0.0373831775700935,,,"2017-12","2017-Q4",141300,-0.0573248407643312,"2017-10"
2018-06-30,2263,"Fillmore","MN","Rochester",1446,143100,0.00703729767769177,0.0192307692307692,0.0940366972477064,,,"2018-06","2018-Q2",143100,0,"2018-06"
2018-06-30,1179,"Martin","MN",,1447,98700,0.00509164969450102,0.013347022587269,0.0291970802919708,,,"2018-06","2018-Q2",98700,0,"2018-06"
2018-06-30,1022,"Fulton","IN",,1448,96500,0.00941422594142259,0.0398706896551724,0.122093023255814,,,"2018-06","2018-Q2",96500,0,"2018-06"
2018-06-30,2670,"Concordia","LA","Natchez",1449,68700,0.00585651537335286,0.0269058295964126,0.0346385542168675,,,"2018-06","2018-Q2",68700,0,"2018-06"
2018-06-30,1377,"Sevier","UT",,1450,194100,0.00988553590010406,0.0242744063324538,0.0474905558553697,,,"2018-06","2018-Q2",194100,0,"2018-06"
2018-06-30,2280,"Franklin","LA",,1451,66600,0.0325581395348837,0.108153078202995,0.158260869565217,,,"2018-06","2018-Q2",66600,0,"2018-06"
